,Totals,,,,,,,,,,,Males,,,,,,,,,,,Females,,,,,,,,,,
Update Time,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+
2021-08-01T15:58:29.037Z,5,2,1,3,32,53,124,377,949,810,4121,2,2,0,1,19,31,70,252,644,529,2127,3,0,1,2,13,22,54,125,305,281,1994
2021-08-01T18:36:34.247Z,5,2,1,3,32,53,124,377,949,810,4121,2,2,0,1,19,31,70,252,644,529,2127,3,0,1,2,13,22,54,125,305,281,1994
2021-08-02T06:18:28.750Z,5,2,1,3,32,53,124,377,949,810,4121,2,2,0,1,19,31,70,252,644,529,2127,3,0,1,2,13,22,54,125,305,281,1994
