,Totals,,,,,,,,,,,Males,,,,,,,,,,,Females,,,,,,,,,,
Update Time,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+
2021-08-01T15:58:29.037Z,49,7,21,45,303,768,1534,2545,3499,2044,6413,26,4,7,17,139,413,952,1539,2160,1221,3206,23,3,14,28,164,355,582,1006,1339,823,3207
2021-08-01T18:36:34.247Z,49,7,21,45,303,768,1534,2543,3499,2043,6411,26,4,7,17,141,413,951,1538,2160,1220,3204,23,3,14,28,162,355,583,1005,1339,823,3207
2021-08-02T06:18:28.750Z,49,7,21,46,302,769,1535,2549,3499,2045,6429,25,4,7,18,139,412,951,1543,2161,1222,3212,24,3,14,28,163,357,584,1006,1338,823,3217
2021-08-02T15:08:55.410Z,48,7,21,45,303,769,1536,2548,3501,2048,6434,25,4,7,17,140,412,952,1543,2162,1223,3212,23,3,14,28,163,357,584,1005,1339,825,3222
2021-08-02T19:16:46.480Z,50,7,21,45,302,770,1536,2548,3499,2048,6435,27,4,7,17,139,413,952,1542,2161,1223,3213,23,3,14,28,163,357,584,1006,1338,825,3222
2021-08-03T05:50:40.487Z,49,7,21,45,302,772,1537,2551,3506,2051,6440,26,4,7,17,139,415,953,1544,2165,1226,3216,23,3,14,28,163,357,584,1007,1341,825,3224
