,Totals,,,,,,,,,,,Males,,,,,,,,,,,Females,,,,,,,,,,
Update Time,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+
2021-08-01T15:58:29.037Z,132968,32862,70816,83974,158481,119592,102520,74215,48752,15387,26365,68049,16797,37086,43772,75755,56780,47954,35282,24340,7691,11234,64919,16065,33730,40202,82726,62812,54566,38933,24412,7696,15131
2021-08-01T18:36:34.247Z,132989,32868,70824,83983,158494,119603,102533,74219,48758,15389,26366,68061,16802,37088,43779,75762,56790,47964,35282,24342,7692,11232,64928,16066,33736,40204,82732,62813,54569,38937,24416,7697,15134
