,All ages - fully vaccinated,,,All ages - partially vaccinated,,,All ages - not vaccinated,,,Above 60 - fully vaccinated,,,Above 60 - partially vaccinated,,,Above 60 - not vaccinated,,,Below 60 - fully vaccinated,,,Below 60 - partially vaccinated,,,Below 60 - not vaccinated,,
Date,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious
2021-07-25T00:00:00.000Z,5435136,793,65,329581,36,3,3527023,587,30,1307620,167,59,25545,1,3,96059,16,13,4127248,626,6,303990,35,0,3431278,568,17
2021-07-26T00:00:00.000Z,5447433,1213,81,322325,37,3,3521982,885,39,1308001,301,73,25522,3,3,95701,28,17,4139164,912,8,296757,34,0,3426595,850,22
2021-07-27T00:00:00.000Z,5459945,1250,99,315197,50,4,3516598,986,52,1308438,292,90,25458,3,3,95328,26,27,4151239,956,9,289693,47,1,3421584,944,25
2021-07-28T00:00:00.000Z,5472316,1157,91,306729,52,5,3512695,982,55,1308875,285,81,25361,4,4,94988,32,28,4163173,871,10,281322,48,1,3418021,938,27
2021-07-29T00:00:00.000Z,5486232,1207,88,297378,38,5,3508130,931,61,1309293,321,79,25322,3,4,94609,30,33,4176671,884,9,272010,35,1,3413835,890,28
2021-07-30T00:00:00.000Z,5494696,1331,114,291449,44,5,3505595,1066,60,1309583,365,106,25326,3,4,94315,23,35,4184845,966,8,266077,40,1,3411594,1031,25
2021-07-31T00:00:00.000Z,5496171,1054,124,291331,38,7,3504238,1006,67,1309789,220,115,25349,2,5,94086,20,41,4186114,834,9,265936,36,2,3410466,978,26
2021-08-01T00:00:00.000Z,5512459,1132,121,278066,30,7,3501215,962,67,1310258,253,112,25254,1,5,93712,26,41,4201933,879,9,252766,29,2,3407817,922,26
2021-08-02T00:00:00.000Z,5526825,2026,138,266734,63,6,3498181,1769,69,1310757,518,125,25147,3,5,93320,47,39,4215800,1507,13,241541,60,1,3405175,1712,30
2021-08-03T00:00:00.000Z,5541304,1731,153,255559,77,7,3494877,1503,71,1311291,393,141,25046,6,6,92887,49,42,4229745,1337,12,230467,70,1,3402304,1442,29
2021-08-04T00:00:00.000Z,5554296,1883,151,246039,52,7,3491405,1572,77,1311828,381,141,24942,2,6,92454,52,44,4242200,1499,10,221051,49,1,3399265,1503,33
2021-08-05T00:00:00.000Z,5569203,2125,166,235559,63,8,3486978,1693,86,1312399,491,155,24861,4,7,91964,57,51,4256536,1632,11,210652,59,1,3395328,1625,35
2021-08-06T00:00:00.000Z,5580398,2062,176,226724,61,8,3484618,1765,90,1312770,476,163,24830,2,7,91624,51,52,4267360,1584,13,201848,59,1,3393308,1704,38
2021-08-07T00:00:00.000Z,5584090,1533,209,224008,43,6,3483642,1352,108,1313015,292,193,24813,3,5,91396,33,62,4270807,1241,16,199149,40,1,3392560,1316,46
2021-08-08T00:00:00.000Z,5587641,1871,232,225453,52,6,3478646,1519,123,1313397,405,212,24959,2,5,90868,51,76,4273976,1466,20,200448,50,1,3388092,1454,47
2021-08-09T00:00:00.000Z,5591042,3421,234,227350,111,10,3473348,2839,133,1313870,696,214,25010,10,8,90344,97,84,4276904,2724,20,202294,101,2,3383318,2724,49
2021-08-10T00:00:00.000Z,5594639,3220,243,229267,98,10,3467834,2534,140,1314457,686,219,24977,4,9,89790,59,87,4279914,2534,24,204244,94,1,3378358,2453,53
2021-08-11T00:00:00.000Z,5598131,3322,250,231384,102,10,3462225,2598,145,1315116,650,223,24951,4,10,89157,79,88,4282747,2672,27,206387,98,0,3373382,2503,57
2021-08-12T00:00:00.000Z,5602196,3322,279,234330,83,10,3455214,2740,163,1315831,702,253,24870,2,10,88523,88,98,4286097,2619,26,209414,81,0,3367005,2638,65
2021-08-13T00:00:00.000Z,5604168,3104,281,236108,94,11,3451464,2745,181,1316308,584,255,24787,3,10,88129,81,108,4287592,2519,26,211275,91,1,3363649,2640,73
2021-08-14T00:00:00.000Z,5604868,2267,295,237653,81,9,3449219,1866,188,1316637,398,270,24795,4,8,87792,50,115,4287963,1869,25,212812,77,1,3361741,1799,73
2021-08-15T00:00:00.000Z,5608687,2741,321,241004,102,11,3442049,2347,209,1317407,434,280,24663,3,9,87154,89,125,4291012,2306,41,216295,98,2,3355209,2237,84
2021-08-16T00:00:00.000Z,5612393,4525,301,244283,167,12,3435064,4095,220,1318230,789,262,24531,7,11,86463,115,134,4293895,3731,39,219706,160,1,3348915,3957,86
2021-08-17T00:00:00.000Z,5615821,4034,327,248635,143,10,3427284,3776,237,1318992,545,279,24480,5,10,85752,106,147,4296561,3484,48,224109,138,0,3341846,3643,90
2021-08-18T00:00:00.000Z,5618629,3951,326,254533,148,12,3418578,3901,254,1319588,557,270,24534,5,11,85102,115,158,4298773,3392,56,229953,143,1,3333790,3743,96
2021-08-19T00:00:00.000Z,5621872,3898,326,261385,153,12,3408483,3757,259,1320221,519,271,24612,15,12,84391,120,154,4301383,3377,55,236727,138,0,3324406,3607,105
2021-08-20T00:00:00.000Z,5624352,3782,320,263638,160,13,3403750,3960,270,1320691,483,265,24508,8,12,84025,113,166,4303393,3298,55,239083,152,1,3320040,3815,104
2021-08-21T00:00:00.000Z,5625396,2629,344,266094,103,12,3400250,2683,300,1321070,311,278,24430,5,11,83724,68,184,4304058,2316,66,241617,98,1,3316841,2600,116
2021-08-22T00:00:00.000Z,5631026,3390,366,270377,136,13,3390337,3049,302,1321921,328,297,24248,9,11,83055,86,181,4308836,3059,69,246083,127,2,3307597,2934,121
2021-08-23T00:00:00.000Z,5636777,4689,347,275634,229,14,3379329,5084,323,1322748,470,279,24076,4,12,82400,125,195,4313760,4217,68,251512,225,2,3297244,4930,128
2021-08-24T00:00:00.000Z,5643187,4784,333,281056,245,17,3367497,5049,333,1323683,412,272,23829,12,14,81712,108,199,4319235,4371,61,257181,233,3,3286100,4912,134
2021-08-25T00:00:00.000Z,5649089,4161,328,284938,231,16,3357713,4778,357,1324467,370,268,23665,9,13,81092,87,213,4324353,3787,60,261227,222,3,3276936,4655,144
2021-08-26T00:00:00.000Z,5655982,4050,316,288220,193,15,3347538,4426,361,1325392,341,254,23353,7,13,80479,100,214,4330321,3707,62,264821,186,2,3267374,4294,147
2021-08-27T00:00:00.000Z,5659493,3869,320,289042,230,15,3343205,4539,364,1325819,392,255,23257,6,13,80148,123,217,4333405,3476,65,265739,224,2,3263372,4392,147
2021-08-28T00:00:00.000Z,5661506,3464,329,290744,185,17,3339490,3633,359,1326177,303,260,23181,11,15,79866,86,213,4335060,3158,69,267517,174,2,3259939,3534,146
2021-08-29T00:00:00.000Z,5668126,3300,340,294584,203,17,3329030,3271,396,1326925,240,269,23019,4,13,79280,82,236,4340932,3060,71,271519,199,4,3250065,3163,160
2021-08-30T00:00:00.000Z,5674498,4552,330,300653,341,16,3316589,6247,404,1327691,299,261,22860,15,12,78673,118,235,4346538,4252,69,277747,326,4,3238231,6091,169
2021-08-31T00:00:00.000Z,5681382,4354,316,305894,320,17,3304464,5724,379,1328515,347,245,22613,11,11,78096,119,219,4352598,4002,71,283235,309,6,3226683,5564,160
2021-09-01T00:00:00.000Z,5687772,4531,297,307926,349,16,3296042,6307,374,1329275,334,234,22388,17,10,77561,124,214,4358227,4196,63,285493,332,6,3218796,6118,160
2021-09-02T00:00:00.000Z,5695342,713,282,300368,64,15,3296030,978,363,1330037,38,222,21840,1,9,77347,19,209,4365035,674,60,278483,63,6,3218998,947,153
