,Totals,,,,,,,,,,,Males,,,,,,,,,,,Females,,,,,,,,,,
Update Time,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+,0-9,10-11,12-15,16-19,20-29,30-39,40-49,50-59,60-69,70-74,75+
2021-08-01T15:58:29.037Z,132968,32862,70816,83974,158481,119592,102520,74215,48752,15387,26365,68049,16797,37086,43772,75755,56780,47954,35282,24340,7691,11234,64919,16065,33730,40202,82726,62812,54566,38933,24412,7696,15131
2021-08-01T18:36:34.247Z,132989,32868,70824,83983,158494,119603,102533,74219,48758,15389,26366,68061,16802,37088,43779,75762,56790,47964,35282,24342,7692,11232,64928,16066,33736,40204,82732,62813,54569,38937,24416,7697,15134
2021-08-02T06:18:28.750Z,133348,32947,70931,84074,158625,119774,102695,74348,48884,15437,26433,68242,16844,37140,43810,75794,56853,48021,35337,24400,7709,11254,65106,16103,33791,40264,82831,62921,54674,39011,24484,7728,15179
2021-08-02T15:08:55.410Z,133691,33027,71030,84150,158793,119991,102911,74487,49020,15492,26508,68427,16882,37185,43846,75849,56946,48117,35409,24463,7733,11282,65264,16145,33845,40304,82944,63045,54794,39078,24557,7759,15226
2021-08-02T19:16:46.480Z,133854,33064,71082,84193,158871,120081,102982,74561,49073,15510,26550,68491,16897,37208,43851,75867,56982,48149,35444,24478,7738,11301,65363,16167,33874,40342,83004,63099,54833,39117,24595,7772,15249
2021-08-03T05:50:40.487Z,134212,33141,71206,84279,159079,120301,103170,74706,49179,15544,26608,68696,16936,37274,43892,75970,57093,48243,35512,24538,7754,11334,65516,16205,33932,40387,83109,63208,54927,39194,24641,7790,15274
